"","X","Submission.ID","Common.Name","Scientific.Name","Taxonomic.Order","Count","State.Province","County","Location.ID","Location","Latitude","Longitude","Date","Time","Protocol","Duration..Min.","All.Obs.Reported","Distance.Traveled..km.","Area.Covered..ha.","Number.of.Observers","Breeding.Code","Observation.Details","Checklist.Comments","ML.Catalog.Numbers","elevation","beyond_50","within_50"
"1",6,"S90546780","Sooty Grouse","Dendragapus fuliginosus",1226,1,"CA-BC","Metro Vancouver","L15421187","1700 Mount Seymour Road, North Vancouver, British Columbia, CA (49.368, -122.953)",49.3681382,-122.9527289,"2021-06-18","05:49 AM","eBird - Stationary Count",6,1,NA,NA,2,"","whooping. more than 50 m","",NA,1010,1,0
"2",7,"S90546779","Sooty Grouse","Dendragapus fuliginosus",1226,1,"CA-BC","Metro Vancouver","L15421187","1700 Mount Seymour Road, North Vancouver, British Columbia, CA (49.368, -122.953)",49.3681382,-122.9527289,"2021-06-18","05:56 AM","eBird - Stationary Count",5,1,NA,NA,2,"","more than 50 m","",NA,1010,1,0
"3",8,"S90596144","Sooty Grouse","Dendragapus fuliginosus",1226,1,"CA-BC","Metro Vancouver","L15464176","Dinkey Peak (49.371, -122.95)",49.3705013,-122.9503367,"2021-06-21","05:44 AM","eBird - Stationary Count",5,1,NA,NA,2,"","","50-m radius point count",NA,1101,0,1
"4",9,"S90596143","Sooty Grouse","Dendragapus fuliginosus",1226,1,"CA-BC","Metro Vancouver","L15464176","Dinkey Peak (49.371, -122.95)",49.3705013,-122.9503367,"2021-06-21","05:49 AM","eBird - Stationary Count",5,1,NA,NA,2,"","","50-m radius point count",NA,1101,0,1
"5",10,"S90596141","Sooty Grouse","Dendragapus fuliginosus",1226,1,"CA-BC","Metro Vancouver","L15464405","Dinkey Peak Loop Trail (49.372, -122.951)",49.3716064,-122.9509666,"2021-06-21","06:09 AM","eBird - Stationary Count",5,1,NA,NA,2,"","","50-m radius point count",NA,1119,0,1
"6",11,"S89847471","Sooty Grouse","Dendragapus fuliginosus",1226,1,"CA-BC","Metro Vancouver","L15295306","Mount Seymour Provincial Park, North Vancouver CA-BC 49.34245, -122.96662",49.342449,-122.966616,"2021-06-08","07:16 AM","eBird - Stationary Count",5,1,NA,NA,1,"","","",NA,531,0,1
"7",12,"S89847470","Sooty Grouse","Dendragapus fuliginosus",1226,1,"CA-BC","Metro Vancouver","L15295306","Mount Seymour Provincial Park, North Vancouver CA-BC 49.34245, -122.96662",49.342449,-122.966616,"2021-06-08","07:22 AM","eBird - Stationary Count",5,1,NA,NA,1,"","","",NA,531,0,1
"8",13,"S90398079","Sooty Grouse","Dendragapus fuliginosus",1226,1,"CA-BC","Metro Vancouver","L15421493","Mount Seymour Provincial Park, North Vancouver CA-BC 49.36706, -122.93815",49.367063,-122.938153,"2021-06-18","06:19 AM","eBird - Stationary Count",5,1,NA,NA,1,"","&gt; 50","",NA,976,1,0
"9",14,"S90398078","Sooty Grouse","Dendragapus fuliginosus",1226,1,"CA-BC","Metro Vancouver","L15421493","Mount Seymour Provincial Park, North Vancouver CA-BC 49.36706, -122.93815",49.367063,-122.938153,"2021-06-18","06:24 AM","eBird - Stationary Count",5,1,NA,NA,1,"","&gt; 50","",NA,976,1,0
"10",15,"S90398081","Sooty Grouse","Dendragapus fuliginosus",1226,1,"CA-BC","Metro Vancouver","L15421221","Mount Seymour Provincial Park, North Vancouver CA-BC 49.36815, -122.93973",49.368147,-122.939731,"2021-06-18","05:53 AM","eBird - Stationary Count",5,1,NA,NA,1,"","&gt; 50","",NA,988,1,0
